title,company,link,source,date
Sales Engineer at Senga Technologies,Senga Technologies,https://www.myjobmag.co.ke/job/sales-engineer-senga-technologies-3,myjobmag,17 March
Latest Jobs at Cold Solutions Kenya,Cold Solutions Kenya,https://www.myjobmag.co.ke/jobs/latest-jobs-at-cold-solutions-kenya,myjobmag,18 March
Jobs at Baker Hughes,Baker Hughes,https://www.myjobmag.co.ke/jobs/jobs-at-baker-hughes-13,myjobmag,18 March
Junior E-Learning Developer,BrighterMonday Consulting,https://www.brightermonday.co.ke/listings/junior-e-learning-developer-pmk6vw,brightermonday,Nairobi · Full Time
ERP Implementation & Support Consultant (Odoo),BrighterMonday Consulting,https://www.brightermonday.co.ke/listings/erp-implementation-support-consultant-odoo-4ne848,brightermonday,Nairobi · Full Time
270 Data Annotators,Generation Kazi Project,https://www.brightermonday.co.ke/listings/270-data-annotators-k895qz,brightermonday,Full Time · Confidential
Implementation and Enrollment Specialist,"Med Bill, L.L.C",https://www.brightermonday.co.ke/listings/implementation-and-enrollment-specialist-pmxkv4,brightermonday,Remote (Work From Home) · Contract
DATA ANALYST,BrighterMonday Consulting,https://www.brightermonday.co.ke/listings/data-analyst-07qzwj,brightermonday,Nairobi · Full Time
UI &UX; DESIGNER,Trackalways Africa Limited,https://www.brightermonday.co.ke/listings/ui-ux-designer-xp4n24,brightermonday,Nairobi · Full Time
IT SYSTEMS COORDINATOR AND DEVELOPER,Brites Management Services Limited,https://www.brightermonday.co.ke/listings/it-systems-coordinator-and-developer-9j4n2x,brightermonday,Nairobi · Full Time
ICT MANAGER,Brites Management Services Limited,https://www.brightermonday.co.ke/listings/ict-manager-07m9xx,brightermonday,Nairobi · Full Time
Functional ERP Implementer – Retail Operations,Kaziweza Limited,https://www.brightermonday.co.ke/listings/functional-erp-implementer-retail-operations-q2pwr4,brightermonday,Nairobi · Full Time
Control Room Attendant,Eezy Track Limited,https://www.brightermonday.co.ke/listings/control-room-attendant-pmk094,brightermonday,Nairobi · Full Time
Search Engine Optimatisation Associate (SEO),Kaziweza Limited,https://www.brightermonday.co.ke/listings/search-engine-optimatisation-associate-seo-84qpz7,brightermonday,Rest of Kenya · Full Time
IT Manager,"Adept Systems, Management Consultants",https://www.brightermonday.co.ke/listings/it-manager-q2p9dn,brightermonday,Thika · Full Time
Backend Developer (TypeScript / NestJS) — Multi-Tenant SaaS & Microservices (Remote),Auslander Technology,https://www.brightermonday.co.ke/listings/backend-developer-typescript-nestjs-multi-tenant-saas-microservices-remote-npr9kz,brightermonday,Remote (Work From Home) · Full Time
SOFTWARE DEVELOPER,SOTE HUB,https://www.brightermonday.co.ke/listings/software-developer-5d7p2x,brightermonday,Mombasa · Full Time
Short-Term Market Survey Supervisor (3 Positions),iHR Consulting Ltd,https://www.brightermonday.co.ke/listings/short-term-market-survey-supervisor-3-positions-07mkk8,brightermonday,Nairobi · Contract
MARKET SURVEY ENUMERATORS(15 Positions),iHR Consulting Ltd,https://www.brightermonday.co.ke/listings/market-survey-enumerators15-positions-vwnddg,brightermonday,Nairobi · Contract
General Manager/Operations Manager,MSVL Group,https://jobwebkenya.com/jobs/general-manager-operations-manager-msvl-group/,jobwebkenya,
Database Administrator,Smart Applications International Ltd,https://jobwebkenya.com/jobs/database-administrator-smart-applications-international-ltd/,jobwebkenya,
Midwife,Accurex Leadership and Management Consultants Ltd,https://jobwebkenya.com/jobs/midwife-accurex-leadership-management-consultants-ltd/,jobwebkenya,
Graduate Trainee,Louis Dreyfus Company,https://jobwebkenya.com/jobs/graduate-trainee-louis-dreyfus-company-2/,jobwebkenya,
